	commit{dir=NRTCachingDirectory(MMapDirectory@C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-07-22 15:23:27.351; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-07-22 15:23:27.357; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@17ad514e[collection1] main
INFO  - 2014-07-22 15:23:27.361; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\conf
INFO  - 2014-07-22 15:23:27.361; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\conf\}
INFO  - 2014-07-22 15:23:27.362; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\conf
WARN  - 2014-07-22 15:23:27.363; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2014-07-22 15:23:27.363; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2014-07-22 15:23:27.363; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-07-22 15:23:27.363; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\conf
INFO  - 2014-07-22 15:23:27.369; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\conf
INFO  - 2014-07-22 15:23:27.369; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-07-22 15:23:27.370; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-07-22 15:23:27.370; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-07-22 15:23:27.371; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\conf
INFO  - 2014-07-22 15:23:27.372; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\conf
INFO  - 2014-07-22 15:23:27.372; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-07-22 15:23:27.373; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-07-22 15:23:27.375; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-07-22 15:23:27.376; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-07-22 15:23:27.383; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-07-22 15:23:27.388; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-07-22 15:23:27.389; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-07-22 15:23:27.390; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-07-22 15:23:27.400; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-07-22 15:23:27.401; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: C:\Development\tailswitch\thirdParty\solr\example\solr\collection1\conf\elevate.xml
INFO  - 2014-07-22 15:23:31.922; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-07-22 15:23:31.922; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@17ad514e[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-07-22 15:23:31.923; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-07-22 15:23:31.924; org.apache.solr.servlet.SolrDispatchFilter; user.dir=C:\Development\tailswitch\thirdParty\solr\example
INFO  - 2014-07-22 15:23:31.924; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-07-22 15:23:31.938; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
